Count,name,image,health,damage,reward,defeat
10,Bird Man,Images\enemies\bird_man.png,7,1,5 Coins,Lose 3 Coins
10,Scorpion,Images\enemies\scorpion.png,2,6,5 Coins,Add a 'Lingering Effect' Card To Your Computer.
10,Zombie,Images\enemies\zombie.png,4,1,5 Coins,Lose 3 Coins
10,Ghost,Images\enemies\ghost.png,9,1,10 Coins,Lose 6 Coins
10,Necromancer,Images\enemies\necromancer.png,6,2,10 Coins,Lose 6 Coins
10,Royal Archer,Images\enemies\royal_archer.png,14,2,10 Coins,Lose 6 Coins
10,Royal Knight,Images\enemies\royal_knight.png,12,2,15 Coins,Lose 9 Coins.  Add a 'Lingering Effect' Card To Your Computer.
10,Ogre,Images\enemies\ogre.png,12,3,15 Coins,Lose 9 Coins.  Add a 'Lingering Effect' Card To Your Computer.
10,Baby Drake,Images\enemies\baby_drake.png,18,3,15 Coins,Lose 9 Coins.  Add a 'Lingering Effect' Card To Your Computer.
1,Rogue Warrior,Images\enemies\rogue_warrior.png,13,1,10 Coins,Add a 'Lingering Effect' Card To Your Computer.
1,Very Large Fish,Images\enemies\very_large_fish.png,23,1,"Draw 3 Event Cards. For each card, you may choose to active it's effects, or discard it.",You have -1 To Maximum Bandwidth During Your Next Maintenance Phase
1,Demon,Images\enemies\demon.png,18,2,15 Coins,Uninstall 1 'Gameplay' Mod
1,Maddened Mage,Images\enemies\maddened_mage.png,11,4,20 Coins,"Draw Mod Cards Until You Draw a Virus Mod. Install That Mod Immediately, Then Shuffle All Other Mods Back Into The Deck."
1,Dragon,Images\enemies\dragon.png,25,3,You Win The Game,Your System Crashes
